
178:	learn: 0.4080966	total: 6m 9s	remaining: 2h 45m 51s
179:	learn: 0.4074764	total: 6m 11s	remaining: 2h 45m 43s
180:	learn: 0.4070815	total: 6m 13s	remaining: 2h 45m 38s
181:	learn: 0.4066125	total: 6m 15s	remaining: 2h 45m 33s
182:	learn: 0.4061989	total: 6m 17s	remaining: 2h 45m 29s
183:	learn: 0.4056698	total: 6m 19s	remaining: 2h 45m 25s
184:	learn: 0.4049710	total: 6m 21s	remaining: 2h 45m 22s
185:	learn: 0.4037978	total: 6m 23s	remaining: 2h 45m 19s
186:	learn: 0.4030248	total: 6m 25s	remaining: 2h 45m 17s
187:	learn: 0.4022880	total: 6m 27s	remaining: 2h 45m 13s
188:	learn: 0.4013315	total: 6m 29s	remaining: 2h 45m 7s
189:	learn: 0.4002518	total: 6m 31s	remaining: 2h 45m 4s
190:	learn: 0.3993074	total: 6m 33s	remaining: 2h 45m 1s
191:	learn: 0.3984705	total: 6m 35s	remaining: 2h 44m 56s
192:	learn: 0.3977165	total: 6m 37s	remaining: 2h 44m 49s
193:	learn: 0.3969924	total: 6m 38s	remaining: 2h 44m 43s
194:	learn: 0.3960666	total: 6m 40s	remaining: 2h 44m 37s
195:	learn: 0.3953646	total: 6m 42s	remaining: 2h 44m 29s
196:	learn: 0.3948872	total: 6m 44s	remaining: 2h 44m 24s
197:	learn: 0.3938603	total: 6m 46s	remaining: 2h 44m 20s
198:	learn: 0.3930972	total: 6m 48s	remaining: 2h 44m 15s
199:	learn: 0.3925031	total: 6m 50s	remaining: 2h 44m 12s
200:	learn: 0.3915391	total: 6m 52s	remaining: 2h 44m 5s
201:	learn: 0.3910083	total: 6m 54s	remaining: 2h 44m 1s
202:	learn: 0.3904001	total: 6m 56s	remaining: 2h 43m 55s
203:	learn: 0.3898551	total: 6m 58s	remaining: 2h 43m 48s
204:	learn: 0.3894095	total: 7m	remaining: 2h 43m 45s
205:	learn: 0.3883924	total: 7m 2s	remaining: 2h 43m 41s
206:	learn: 0.3878249	total: 7m 3s	remaining: 2h 43m 37s
207:	learn: 0.3871269	total: 7m 5s	remaining: 2h 43m 33s
208:	learn: 0.3857568	total: 7m 7s	remaining: 2h 43m 27s
209:	learn: 0.3853153	total: 7m 9s	remaining: 2h 43m 21s
210:	learn: 0.3846522	total: 7m 11s	remaining: 2h 43m 15s
211:	learn: 0.3838868	total: 7m 13s	remaining: 2h 43m 10s
212:	learn: 0.3828396	total: 7m 15s	remaining: 2h 43m 3s
213:	learn: 0.3818202	total: 7m 17s	remaining: 2h 42m 57s
214:	learn: 0.3812860	total: 7m 19s	remaining: 2h 42m 54s
215:	learn: 0.3806398	total: 7m 21s	remaining: 2h 42m 47s
216:	learn: 0.3803090	total: 7m 22s	remaining: 2h 42m 42s
217:	learn: 0.3798723	total: 7m 24s	remaining: 2h 42m 40s
218:	learn: 0.3787755	total: 7m 26s	remaining: 2h 42m 35s
219:	learn: 0.3775840	total: 7m 28s	remaining: 2h 42m 33s
220:	learn: 0.3763087	total: 7m 30s	remaining: 2h 42m 30s
221:	learn: 0.3751640	total: 7m 32s	remaining: 2h 42m 26s
222:	learn: 0.3744604	total: 7m 34s	remaining: 2h 42m 20s
223:	learn: 0.3732842	total: 7m 36s	remaining: 2h 42m 17s
224:	learn: 0.3725020	total: 7m 38s	remaining: 2h 42m 13s
225:	learn: 0.3719879	total: 7m 40s	remaining: 2h 42m 9s
226:	learn: 0.3711408	total: 7m 42s	remaining: 2h 42m 6s
227:	learn: 0.3704364	total: 7m 44s	remaining: 2h 42m 3s
228:	learn: 0.3698598	total: 7m 46s	remaining: 2h 41m 59s
229:	learn: 0.3692149	total: 7m 48s	remaining: 2h 41m 57s
230:	learn: 0.3681823	total: 7m 50s	remaining: 2h 41m 55s
231:	learn: 0.3674704	total: 7m 52s	remaining: 2h 41m 51s
232:	learn: 0.3670585	total: 7m 54s	remaining: 2h 41m 48s
233:	learn: 0.3664436	total: 7m 56s	remaining: 2h 41m 43s
234:	learn: 0.3653771	total: 7m 58s	remaining: 2h 41m 39s
235:	learn: 0.3648614	total: 8m	remaining: 2h 41m 34s
236:	learn: 0.3637862	total: 8m 2s	remaining: 2h 41m 31s
237:	learn: 0.3630411	total: 8m 4s	remaining: 2h 41m 26s
238:	learn: 0.3624184	total: 8m 6s	remaining: 2h 41m 23s
239:	learn: 0.3615007	total: 8m 7s	remaining: 2h 41m 18s
240:	learn: 0.3609392	total: 8m 9s	remaining: 2h 41m 13s
241:	learn: 0.3599264	total: 8m 11s	remaining: 2h 41m 13s
242:	learn: 0.3595697	total: 8m 14s	remaining: 2h 41m 11s
243:	learn: 0.3592681	total: 8m 16s	remaining: 2h 41m 10s
244:	learn: 0.3583406	total: 8m 18s	remaining: 2h 41m 9s
245:	learn: 0.3580321	total: 8m 20s	remaining: 2h 41m 8s
246:	learn: 0.3573031	total: 8m 22s	remaining: 2h 41m 7s
247:	learn: 0.3565736	total: 8m 24s	remaining: 2h 41m 10s
248:	learn: 0.3561114	total: 8m 26s	remaining: 2h 41m 12s
249:	learn: 0.3557883	total: 8m 29s	remaining: 2h 41m 16s
250:	learn: 0.3550651	total: 8m 31s	remaining: 2h 41m 21s
251:	learn: 0.3545804	total: 8m 33s	remaining: 2h 41m 22s
252:	learn: 0.3538807	total: 8m 36s	remaining: 2h 41m 26s
253:	learn: 0.3533528	total: 8m 38s	remaining: 2h 41m 30s
254:	learn: 0.3528586	total: 8m 40s	remaining: 2h 41m 33s
255:	learn: 0.3525829	total: 8m 43s	remaining: 2h 41m 38s
256:	learn: 0.3520977	total: 8m 45s	remaining: 2h 41m 47s
257:	learn: 0.3514963	total: 8m 48s	remaining: 2h 41m 53s
258:	learn: 0.3510179	total: 8m 50s	remaining: 2h 41m 54s
259:	learn: 0.3506507	total: 8m 52s	remaining: 2h 41m 56s
260:	learn: 0.3502778	total: 8m 55s	remaining: 2h 41m 59s
261:	learn: 0.3496615	total: 8m 57s	remaining: 2h 42m 1s
262:	learn: 0.3492752	total: 8m 59s	remaining: 2h 42m
263:	learn: 0.3487184	total: 9m 1s	remaining: 2h 42m
264:	learn: 0.3482272	total: 9m 4s	remaining: 2h 42m
265:	learn: 0.3479353	total: 9m 6s	remaining: 2h 42m
266:	learn: 0.3475646	total: 9m 8s	remaining: 2h 41m 57s
267:	learn: 0.3466787	total: 9m 10s	remaining: 2h 41m 57s
268:	learn: 0.3462323	total: 9m 12s	remaining: 2h 41m 58s
269:	learn: 0.3452837	total: 9m 14s	remaining: 2h 41m 55s
270:	learn: 0.3446954	total: 9m 16s	remaining: 2h 41m 52s
271:	learn: 0.3438525	total: 9m 18s	remaining: 2h 41m 52s
