144:	learn: 0.7838862	total: 1.97s	remaining: 25.2s
145:	learn: 0.7831927	total: 1.98s	remaining: 25.2s
146:	learn: 0.7824243	total: 2s	remaining: 25.2s
147:	learn: 0.7815537	total: 2.01s	remaining: 25.2s
148:	learn: 0.7808082	total: 2.02s	remaining: 25.1s
149:	learn: 0.7801439	total: 2.04s	remaining: 25.1s
150:	learn: 0.7795202	total: 2.05s	remaining: 25.1s
151:	learn: 0.7789070	total: 2.06s	remaining: 25.1s
152:	learn: 0.7783160	total: 2.08s	remaining: 25.1s
153:	learn: 0.7777267	total: 2.1s	remaining: 25.1s
154:	learn: 0.7771152	total: 2.11s	remaining: 25.1s
155:	learn: 0.7763034	total: 2.12s	remaining: 25.1s
156:	learn: 0.7757722	total: 2.13s	remaining: 25.1s
157:	learn: 0.7750430	total: 2.15s	remaining: 25s
158:	learn: 0.7744673	total: 2.16s	remaining: 25s
159:	learn: 0.7738371	total: 2.17s	remaining: 25s
160:	learn: 0.7730724	total: 2.19s	remaining: 25s
161:	learn: 0.7725299	total: 2.21s	remaining: 25s
162:	learn: 0.7717892	total: 2.22s	remaining: 25s
163:	learn: 0.7711883	total: 2.23s	remaining: 25s
164:	learn: 0.7704701	total: 2.25s	remaining: 25s
165:	learn: 0.7697870	total: 2.26s	remaining: 25s
166:	learn: 0.7691788	total: 2.27s	remaining: 25s
167:	learn: 0.7684687	total: 2.29s	remaining: 25s
168:	learn: 0.7679327	total: 2.31s	remaining: 25s
169:	learn: 0.7673971	total: 2.33s	remaining: 25.1s
170:	learn: 0.7668915	total: 2.35s	remaining: 25.1s
171:	learn: 0.7663251	total: 2.36s	remaining: 25.1s
172:	learn: 0.7657958	total: 2.38s	remaining: 25.1s
173:	learn: 0.7650968	total: 2.39s	remaining: 25.1s
174:	learn: 0.7644188	total: 2.4s	remaining: 25.1s
175:	learn: 0.7639152	total: 2.42s	remaining: 25.1s
176:	learn: 0.7633888	total: 2.43s	remaining: 25.1s
177:	learn: 0.7626300	total: 2.45s	remaining: 25.1s
178:	learn: 0.7619193	total: 2.46s	remaining: 25s
179:	learn: 0.7612676	total: 2.48s	remaining: 25s
180:	learn: 0.7607913	total: 2.49s	remaining: 25s
181:	learn: 0.7602653	total: 2.5s	remaining: 25s
182:	learn: 0.7596396	total: 2.52s	remaining: 25s
183:	learn: 0.7591215	total: 2.53s	remaining: 25s
184:	learn: 0.7585488	total: 2.55s	remaining: 25s
185:	learn: 0.7578658	total: 2.56s	remaining: 25s
186:	learn: 0.7572075	total: 2.58s	remaining: 25s
187:	learn: 0.7566962	total: 2.59s	remaining: 25s
188:	learn: 0.7560741	total: 2.6s	remaining: 25s
189:	learn: 0.7554719	total: 2.62s	remaining: 24.9s
190:	learn: 0.7547765	total: 2.63s	remaining: 24.9s
191:	learn: 0.7541394	total: 2.64s	remaining: 24.9s
192:	learn: 0.7536224	total: 2.65s	remaining: 24.9s
193:	learn: 0.7531305	total: 2.67s	remaining: 24.9s
194:	learn: 0.7526543	total: 2.68s	remaining: 24.8s
195:	learn: 0.7521534	total: 2.7s	remaining: 24.8s
196:	learn: 0.7516034	total: 2.71s	remaining: 24.8s
197:	learn: 0.7510173	total: 2.72s	remaining: 24.8s
198:	learn: 0.7506170	total: 2.74s	remaining: 24.8s
199:	learn: 0.7499474	total: 2.75s	remaining: 24.7s
200:	learn: 0.7495023	total: 2.76s	remaining: 24.7s
201:	learn: 0.7489128	total: 2.77s	remaining: 24.7s
202:	learn: 0.7484930	total: 2.79s	remaining: 24.7s
203:	learn: 0.7480148	total: 2.8s	remaining: 24.7s
204:	learn: 0.7473782	total: 2.82s	remaining: 24.7s
205:	learn: 0.7468214	total: 2.83s	remaining: 24.7s
206:	learn: 0.7462747	total: 2.84s	remaining: 24.6s
207:	learn: 0.7456548	total: 2.86s	remaining: 24.6s
208:	learn: 0.7450501	total: 2.87s	remaining: 24.6s
209:	learn: 0.7445659	total: 2.89s	remaining: 24.6s
210:	learn: 0.7440243	total: 2.9s	remaining: 24.6s
211:	learn: 0.7435454	total: 2.92s	remaining: 24.6s
212:	learn: 0.7429178	total: 2.93s	remaining: 24.6s
213:	learn: 0.7423824	total: 2.95s	remaining: 24.6s
214:	learn: 0.7418103	total: 2.96s	remaining: 24.6s
215:	learn: 0.7413554	total: 2.97s	remaining: 24.6s
216:	learn: 0.7409104	total: 2.99s	remaining: 24.6s
217:	learn: 0.7405158	total: 3s	remaining: 24.5s
218:	learn: 0.7400808	total: 3.02s	remaining: 24.5s
219:	learn: 0.7395681	total: 3.03s	remaining: 24.5s
220:	learn: 0.7391209	total: 3.04s	remaining: 24.5s
221:	learn: 0.7387127	total: 3.06s	remaining: 24.5s
222:	learn: 0.7382015	total: 3.07s	remaining: 24.5s
223:	learn: 0.7376552	total: 3.09s	remaining: 24.5s
224:	learn: 0.7372166	total: 3.1s	remaining: 24.5s
225:	learn: 0.7367995	total: 3.12s	remaining: 24.5s
226:	learn: 0.7364306	total: 3.13s	remaining: 24.5s
227:	learn: 0.7360221	total: 3.15s	remaining: 24.5s
228:	learn: 0.7356175	total: 3.16s	remaining: 24.5s
