274:	learn: 0.5417501	total: 4.4s	remaining: 27.6s
275:	learn: 0.5413512	total: 4.42s	remaining: 27.6s
276:	learn: 0.5411824	total: 4.43s	remaining: 27.6s
277:	learn: 0.5409007	total: 4.45s	remaining: 27.6s
278:	learn: 0.5406175	total: 4.47s	remaining: 27.6s
279:	learn: 0.5403052	total: 4.49s	remaining: 27.6s
280:	learn: 0.5400445	total: 4.51s	remaining: 27.6s
281:	learn: 0.5398607	total: 4.52s	remaining: 27.5s
282:	learn: 0.5390482	total: 4.54s	remaining: 27.5s
283:	learn: 0.5387921	total: 4.55s	remaining: 27.5s
284:	learn: 0.5385681	total: 4.57s	remaining: 27.5s
285:	learn: 0.5383236	total: 4.58s	remaining: 27.5s
286:	learn: 0.5380825	total: 4.6s	remaining: 27.4s
287:	learn: 0.5378095	total: 4.61s	remaining: 27.4s
288:	learn: 0.5374900	total: 4.63s	remaining: 27.4s
289:	learn: 0.5373283	total: 4.64s	remaining: 27.4s
290:	learn: 0.5370555	total: 4.66s	remaining: 27.4s
291:	learn: 0.5368961	total: 4.67s	remaining: 27.3s
292:	learn: 0.5365511	total: 4.69s	remaining: 27.3s
293:	learn: 0.5361973	total: 4.71s	remaining: 27.3s
294:	learn: 0.5358442	total: 4.72s	remaining: 27.3s
295:	learn: 0.5356329	total: 4.74s	remaining: 27.3s
296:	learn: 0.5354242	total: 4.76s	remaining: 27.3s
297:	learn: 0.5351940	total: 4.78s	remaining: 27.3s
298:	learn: 0.5349707	total: 4.79s	remaining: 27.3s
299:	learn: 0.5347627	total: 4.81s	remaining: 27.3s
300:	learn: 0.5347363	total: 4.82s	remaining: 27.2s
301:	learn: 0.5346412	total: 4.84s	remaining: 27.2s
302:	learn: 0.5344011	total: 4.86s	remaining: 27.2s
303:	learn: 0.5340786	total: 4.87s	remaining: 27.2s
304:	learn: 0.5338855	total: 4.88s	remaining: 27.2s
305:	learn: 0.5337316	total: 4.9s	remaining: 27.1s
306:	learn: 0.5334521	total: 4.92s	remaining: 27.1s
307:	learn: 0.5331033	total: 4.93s	remaining: 27.1s
308:	learn: 0.5328923	total: 4.95s	remaining: 27.1s
309:	learn: 0.5325183	total: 4.96s	remaining: 27.1s
310:	learn: 0.5324219	total: 4.98s	remaining: 27s
311:	learn: 0.5319111	total: 5s	remaining: 27s
312:	learn: 0.5316742	total: 5.01s	remaining: 27s
313:	learn: 0.5314734	total: 5.03s	remaining: 27s
314:	learn: 0.5313874	total: 5.04s	remaining: 27s
315:	learn: 0.5311428	total: 5.06s	remaining: 27s
316:	learn: 0.5309701	total: 5.07s	remaining: 26.9s
317:	learn: 0.5306922	total: 5.09s	remaining: 26.9s
318:	learn: 0.5305083	total: 5.11s	remaining: 26.9s
319:	learn: 0.5303376	total: 5.12s	remaining: 26.9s
320:	learn: 0.5300686	total: 5.13s	remaining: 26.8s
321:	learn: 0.5298007	total: 5.15s	remaining: 26.8s
322:	learn: 0.5295420	total: 5.16s	remaining: 26.8s
323:	learn: 0.5291967	total: 5.18s	remaining: 26.8s
324:	learn: 0.5288615	total: 5.19s	remaining: 26.8s
325:	learn: 0.5286627	total: 5.21s	remaining: 26.7s
326:	learn: 0.5283934	total: 5.22s	remaining: 26.7s
327:	learn: 0.5282461	total: 5.23s	remaining: 26.7s
328:	learn: 0.5280332	total: 5.25s	remaining: 26.7s
329:	learn: 0.5278192	total: 5.26s	remaining: 26.6s
330:	learn: 0.5276320	total: 5.28s	remaining: 26.6s
331:	learn: 0.5271717	total: 5.29s	remaining: 26.6s
332:	learn: 0.5269210	total: 5.3s	remaining: 26.6s
333:	learn: 0.5266299	total: 5.32s	remaining: 26.5s
334:	learn: 0.5264853	total: 5.33s	remaining: 26.5s
335:	learn: 0.5263634	total: 5.34s	remaining: 26.5s
336:	learn: 0.5262310	total: 5.36s	remaining: 26.4s
337:	learn: 0.5260797	total: 5.37s	remaining: 26.4s
338:	learn: 0.5258467	total: 5.39s	remaining: 26.4s
339:	learn: 0.5256708	total: 5.4s	remaining: 26.4s
340:	learn: 0.5254928	total: 5.41s	remaining: 26.3s
341:	learn: 0.5253273	total: 5.43s	remaining: 26.3s
342:	learn: 0.5247611	total: 5.44s	remaining: 26.3s
343:	learn: 0.5243573	total: 5.46s	remaining: 26.3s
344:	learn: 0.5242348	total: 5.47s	remaining: 26.2s
345:	learn: 0.5240308	total: 5.49s	remaining: 26.2s
346:	learn: 0.5236988	total: 5.5s	remaining: 26.2s
347:	learn: 0.5233453	total: 5.51s	remaining: 26.2s
348:	learn: 0.5231124	total: 5.53s	remaining: 26.1s
349:	learn: 0.5228910	total: 5.54s	remaining: 26.1s
350:	learn: 0.5225344	total: 5.55s	remaining: 26.1s
351:	learn: 0.5224796	total: 5.58s	remaining: 26.1s
352:	learn: 0.5220327	total: 5.6s	remaining: 26.1s
353:	learn: 0.5217953	total: 5.61s	remaining: 26.1s
354:	learn: 0.5215422	total: 5.63s	remaining: 26.1s
355:	learn: 0.5213735	total: 5.64s	remaining: 26.1s
356:	learn: 0.5212447	total: 5.66s	remaining: 26s
357:	learn: 0.5210640	total: 5.67s	remaining: 26s
358:	learn: 0.5210433	total: 5.69s	remaining: 26s
359:	learn: 0.5208487	total: 5.7s	remaining: 26s
360:	learn: 0.5206262	total: 5.72s	remaining: 26s
361:	learn: 0.5205794	total: 5.73s	remaining: 25.9s
362:	learn: 0.5203315	total: 5.75s	remaining: 25.9s
363:	learn: 0.5201463	total: 5.76s	remaining: 25.9s
364:	learn: 0.5199839	total: 5.78s	remaining: 25.9s
365:	learn: 0.5198397	total: 5.79s	remaining: 25.9s
366:	learn: 0.5198239	total: 5.81s	remaining: 25.8s
367:	learn: 0.5196846	total: 5.82s	remaining: 25.8s
368:	learn: 0.5195273	total: 5.83s	remaining: 25.8s
369:	learn: 0.5193944	total: 5.85s	remaining: 25.8s
370:	learn: 0.5193480	total: 5.86s	remaining: 25.7s
